system,metric,direction,actual_mean,permutation_mean,actual_minus_permutation,favorable_difference,permutation_ci95_low,permutation_ci95_high,one_sided_p
ELF diffusion: retrieval specialist,ROUGE-1 F1,higher,0.07696786360307173,0.05270672217011452,0.02426114143295721,0.02426114143295721,0.041426713299006226,0.06457981243729591,4.999950000499995e-05
T5 prefix: direct-projector winner,Content F1,higher,0.02550913854078813,0.00936537329107523,0.0161437652497129,0.0161437652497129,0.0029137530364096165,0.0171445658430457,0.00012999870001299986
T5 prefix: direct-projector winner,Word F1,higher,0.09942505576393822,0.07031681388616562,0.029108241877772598,0.029108241877772598,0.05800291793420911,0.08300334215164185,9.99990000099999e-06
T5 prefix: direct-projector winner,WER,lower,0.9772727272727273,0.9848952889442444,-0.007622561671517092,0.007622561671517092,0.9772727489471436,0.9918181896209717,0.026909730902690974
T5 prefix: direct-projector winner,Raw BERTScore F1,higher,0.8282123218883167,0.8236573338508606,0.004554988037456131,0.004554988037456131,0.8224474191665649,0.8249214977025986,9.99990000099999e-06
T5 prefix: direct-projector winner,BLEU-1,higher,0.09563446911898527,0.06823225319385529,0.02740221592512998,0.02740221592512998,0.05615327432751656,0.0805088508874178,1.999980000199998e-05
T5 prefix: direct-projector winner,ROUGE-1 F1,higher,0.10876659046519886,0.07709730416536331,0.03166928629983555,0.03166928629983555,0.06466817148029805,0.08996949978172779,9.99990000099999e-06
"Vec2Text: predicted qc4wyals ADA, 10-word cap",Content F1,higher,0.022711935910311613,0.00893092155456543,0.013781014355746184,0.013781014355746184,0.0027272729203104973,0.016462627844884992,0.00043999560004399956
"Vec2Text: predicted qc4wyals ADA, 10-word cap",Word F1,higher,0.05205773006786,0.03668064996600151,0.015377080101858488,0.015377080101858488,0.027121785329654813,0.04681361131370066,0.0016699833001669983
"Vec2Text: predicted qc4wyals ADA, 10-word cap",WER,lower,1.0681818181818181,1.0709326267242432,-0.002750808542425043,0.002750808542425043,1.0654546022415161,1.075454592704773,0.17358826411735884
"Vec2Text: predicted qc4wyals ADA, 10-word cap",Raw BERTScore F1,higher,0.8110033902254972,0.8075842261314392,0.003419164094057958,0.003419164094057958,0.8064622268080711,0.8087856188416481,9.99990000099999e-06
"Vec2Text: predicted qc4wyals ADA, 10-word cap",BLEU-1,higher,0.05123652978376909,0.03546861931681633,0.015767910466952757,0.015767910466952757,0.026149827241897582,0.04529411243274807,0.001009989900100999
"Vec2Text: predicted qc4wyals ADA, 10-word cap",ROUGE-1 F1,higher,0.058061075210571286,0.04017334431409836,0.017887730896472928,0.017887730896472928,0.030088088102638723,0.050869020260870444,0.0007699923000769992
"Vec2Text: predicted qc4wyals ADA, native length",Content F1,higher,0.01116380908272483,0.00620567612349987,0.00495813295922496,0.00495813295922496,0.002467750245705247,0.01090550606604665,0.02036979630203698
"Vec2Text: predicted qc4wyals ADA, native length",Word F1,higher,0.03272399252111262,0.02531999722123146,0.007403995299881158,0.007403995299881158,0.019806591048836707,0.03125163968652487,0.008119918800811992
"Vec2Text: predicted qc4wyals ADA, native length",WER,lower,4.093636363636364,4.112977981567383,-0.019341617931019073,0.019341617931019073,4.10272741317749,4.122727394104004,0.0003099969000309997
